Ativo,"Minha Categoria",Recebido,"Data pgto.","Data COM",YOC,DY,"Valor por cota"
VISC11,"Renda Variavel","R$ 28,70",15/06/2023,31/05/2023,"0.79 %","0.69 %","R$ 0,82"
XPLG11,"Renda Variavel","R$ 21,00",15/06/2023,31/05/2023,"0.74 %","0.71 %","R$ 0,75"
SNAG11,"Renda Variavel","R$ 8,48",25/05/2023,15/05/2023,"1.05 %","1.05 %","R$ 1,06"
BCFF11,"Renda Variavel","R$ 87,36",15/05/2023,08/05/2023,"0.80 %","0.82 %","R$ 0,56"
KNRI11,"Renda Variavel","R$ 52,25",15/05/2023,28/04/2023,"0.67 %","0.65 %","R$ 0,95"
MXRF11,"Renda Variavel","R$ 74,76",15/05/2023,28/04/2023,"1.18 %","1.14 %","R$ 0,12"
RBFF11,"Renda Variavel","R$ 39,69",15/05/2023,28/04/2023,"0.91 %","0.97 %","R$ 0,49"
RBVA11,"Renda Variavel","R$ 47,50",15/05/2023,28/04/2023,"1.00 %","1.01 %","R$ 0,95"
RZAG11,"Renda Variavel","R$ 21,19",15/05/2023,28/04/2023,"1.32 %","1.43 %","R$ 0,13"
TGAR11,"Renda Variavel","R$ 35,10",15/05/2023,28/04/2023,"1.17 %","1.20 %","R$ 1,35"
VISC11,"Renda Variavel","R$ 28,70",15/05/2023,28/04/2023,"0.79 %","0.76 %","R$ 0,82"
XPLG11,"Renda Variavel","R$ 20,72",15/05/2023,28/04/2023,"0.73 %","0.74 %","R$ 0,74"
SNAG11,"Renda Variavel","R$ 9,60",25/04/2023,14/04/2023,"1.19 %","1.18 %","R$ 1,20"
BCFF11,"Renda Variavel","R$ 87,36",17/04/2023,10/04/2023,"0.80 %","0.89 %","R$ 0,56"
KNRI11,"Renda Variavel","R$ 52,25",17/04/2023,31/03/2023,"0.67 %","0.69 %","R$ 0,95"
MXRF11,"Renda Variavel","R$ 74,76",17/04/2023,31/03/2023,"1.18 %","1.16 %","R$ 0,12"
RZAG11,"Renda Variavel","R$ 17,93",17/04/2023,31/03/2023,"1.11 %","1.18 %","R$ 0,11"
TGAR11,"Renda Variavel","R$ 34,84",17/04/2023,31/03/2023,"1.17 %","1.18 %","R$ 1,34"
VISC11,"Renda Variavel","R$ 28,70",17/04/2023,31/03/2023,"0.79 %","0.80 %","R$ 0,82"
